Compound_CID,Name,SMILES,InChIKey
11224,Donormil,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,KBAUFVUYFNWQFM-UHFFFAOYSA-N
31239,Cetylpyridinium Chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],YMKDRGPMQRFJGP-UHFFFAOYSA-M
2997,Nordiazepam,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,AKPLHCDWDRPJGD-UHFFFAOYSA-N
3380,Flunitrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,PPTYJKAXVCCBDU-UHFFFAOYSA-N
4076,Mescaline,COC1=CC(=CC(=C1OC)OC)CCN,RHCSKNNOAZULRK-UHFFFAOYSA-N
1614,"3,4-Methylenedioxyamphetamine",CC(CC1=CC2=C(C=C1)OCO2)N,NGBBVGZWCFBOGO-UHFFFAOYSA-N
5666,Viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,YWPHCCPCQOJSGZ-UHFFFAOYSA-N
9581,Pseudoephedrine Hydrochloride,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.Cl,BALXUFOVQVENIU-KXNXZCPBSA-N
1548887,Sulindac,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,MLKXDPUZXIRXEP-MFOYZWKCSA-N
126941,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,FBOZXECLQNJBKD-ZDUSSCGKSA-N
2733526,Tamoxifen,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,NKANXQFJJICGDU-QPLCGJKRSA-N
156391,Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CMWTZPSULFXXJA-VIFPVBQESA-N
23662354,Mesna,C(CS(=O)(=O)[O-])S.[Na+],XOGTZOOQQBDUSI-UHFFFAOYSA-M
5018304,Diclofenac sodium,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],KPHWPUGNDIVLNH-UHFFFAOYSA-M
